dex,name,generation,types,abilities,hp,attack,defense,sp_atk,sp_def,speed,base_total,is_legendary,height,weight,base_experience
88,grimer,1,poison,stench; sticky-hold; poison-touch,80,80,50,40,50,25,325,False,9,300,65
89,muk,1,poison,stench; sticky-hold; poison-touch,105,105,75,65,100,50,500,False,12,300,175
90,shellder,1,water,shell-armor; skill-link; overcoat,30,65,100,45,25,40,305,False,3,40,61
91,cloyster,1,"water, ice",shell-armor; skill-link; overcoat,50,95,180,85,45,70,525,False,15,1325,184
92,gastly,1,"ghost, poison",levitate,30,35,30,100,35,80,310,False,13,1,62
93,haunter,1,"ghost, poison",levitate,45,50,45,115,55,95,405,False,16,1,142
94,gengar,1,"ghost, poison",cursed-body,60,65,60,130,75,110,500,False,15,405,225
95,onix,1,"rock, ground",rock-head; sturdy; weak-armor,35,45,160,30,45,70,385,False,88,2100,77
96,drowzee,1,psychic,insomnia; forewarn; inner-focus,60,48,45,43,90,42,328,False,10,324,66
97,hypno,1,psychic,insomnia; forewarn; inner-focus,85,73,70,73,115,67,483,False,16,756,169
98,krabby,1,water,hyper-cutter; shell-armor; sheer-force,30,105,90,25,25,50,325,False,4,65,65
99,kingler,1,water,hyper-cutter; shell-armor; sheer-force,55,130,115,50,50,75,475,False,13,600,166
100,voltorb,1,electric,soundproof; static; aftermath,40,30,50,55,55,100,330,False,5,104,66
101,electrode,1,electric,soundproof; static; aftermath,60,50,70,80,80,150,490,False,12,666,172
102,exeggcute,1,"grass, psychic",chlorophyll; harvest,60,40,80,60,45,40,325,False,4,25,65
103,exeggutor,1,"grass, psychic",chlorophyll; harvest,95,95,85,125,75,55,530,False,20,1200,186
104,cubone,1,ground,rock-head; lightning-rod; battle-armor,50,50,95,40,50,35,320,False,4,65,64
105,marowak,1,ground,rock-head; lightning-rod; battle-armor,60,80,110,50,80,45,425,False,10,450,149
106,hitmonlee,1,fighting,limber; reckless; unburden,50,120,53,35,110,87,455,False,15,498,159
107,hitmonchan,1,fighting,keen-eye; iron-fist; inner-focus,50,105,79,35,110,76,455,False,14,502,159
108,lickitung,1,normal,own-tempo; oblivious; cloud-nine,90,55,75,60,75,30,385,False,12,655,77
109,koffing,1,poison,levitate; neutralizing-gas; stench,40,65,95,60,45,35,340,False,6,10,68
110,weezing,1,poison,levitate; neutralizing-gas; stench,65,90,120,85,70,60,490,False,12,95,172
111,rhyhorn,1,"ground, rock",lightning-rod; rock-head; reckless,80,85,95,30,30,25,345,False,10,1150,69
112,rhydon,1,"ground, rock",lightning-rod; rock-head; reckless,105,130,120,45,45,40,485,False,19,1200,170
113,chansey,1,normal,natural-cure; serene-grace; healer,250,5,5,35,105,50,450,False,11,346,395
114,tangela,1,grass,chlorophyll; leaf-guard; regenerator,65,55,115,100,40,60,435,False,10,350,87
115,kangaskhan,1,normal,early-bird; scrappy; inner-focus,105,95,80,40,80,90,490,False,22,800,172
116,horsea,1,water,swift-swim; sniper; damp,30,40,70,70,25,60,295,False,4,80,59
117,seadra,1,water,poison-point; sniper; damp,55,65,95,95,45,85,440,False,12,250,154
118,goldeen,1,water,swift-swim; water-veil; lightning-rod,45,67,60,35,50,63,320,False,6,150,64
119,seaking,1,water,swift-swim; water-veil; lightning-rod,80,92,65,65,80,68,450,False,13,390,158
120,staryu,1,water,illuminate; natural-cure; analytic,30,45,55,70,55,85,340,False,8,345,68
121,starmie,1,"water, psychic",illuminate; natural-cure; analytic,60,75,85,100,85,115,520,False,11,800,182
122,mr-mime,1,"psychic, fairy",soundproof; filter; technician,40,45,65,100,120,90,460,False,13,545,161
123,scyther,1,"bug, flying",swarm; technician; steadfast,70,110,80,55,80,105,500,False,15,560,100
124,jynx,1,"ice, psychic",oblivious; forewarn; dry-skin,65,50,35,115,95,95,455,False,14,406,159
125,electabuzz,1,electric,static; vital-spirit,65,83,57,95,85,105,490,False,11,300,172
126,magmar,1,fire,flame-body; vital-spirit,65,95,57,100,85,93,495,False,13,445,173
127,pinsir,1,bug,hyper-cutter; mold-breaker; moxie,65,125,100,55,70,85,500,False,15,550,175
128,tauros,1,normal,intimidate; anger-point; sheer-force,75,100,95,40,70,110,490,False,14,884,172
129,magikarp,1,water,swift-swim; rattled,20,10,55,15,20,80,200,False,9,100,40
130,gyarados,1,"water, flying",intimidate; moxie,95,125,79,60,100,81,540,False,65,2350,189
131,lapras,1,"water, ice",water-absorb; shell-armor; hydration,130,85,80,85,95,60,535,False,25,2200,187
132,ditto,1,normal,limber; imposter,48,48,48,48,48,48,288,False,3,40,101
133,eevee,1,normal,run-away; adaptability; anticipation,55,55,50,45,65,55,325,False,3,65,65
134,vaporeon,1,water,water-absorb; hydration,130,65,60,110,95,65,525,False,10,290,184
135,jolteon,1,electric,volt-absorb; quick-feet,65,65,60,110,95,130,525,False,8,245,184
136,flareon,1,fire,flash-fire; guts,65,130,60,95,110,65,525,False,9,250,184
137,porygon,1,normal,trace; download; analytic,65,60,70,85,75,40,395,False,8,365,79
138,omanyte,1,"rock, water",swift-swim; shell-armor; weak-armor,35,40,100,90,55,35,355,False,4,75,71
139,omastar,1,"rock, water",swift-swim; shell-armor; weak-armor,70,60,125,115,70,55,495,False,10,350,173
140,kabuto,1,"rock, water",swift-swim; battle-armor; weak-armor,30,80,90,55,45,55,355,False,5,115,71
141,kabutops,1,"rock, water",swift-swim; battle-armor; weak-armor,60,115,105,65,70,80,495,False,13,405,173
142,aerodactyl,1,"rock, flying",rock-head; pressure; unnerve,80,105,65,60,75,130,515,False,18,590,180
143,snorlax,1,normal,immunity; thick-fat; gluttony,160,110,65,65,110,30,540,False,21,4600,189
144,articuno,1,"ice, flying",pressure; snow-cloak,90,85,100,95,125,85,580,True,17,554,261
145,zapdos,1,"electric, flying",pressure; static,90,90,85,125,90,100,580,True,16,526,261
146,moltres,1,"fire, flying",pressure; flame-body,90,100,90,125,85,90,580,True,20,600,261
147,dratini,1,dragon,shed-skin; marvel-scale,41,64,45,50,50,50,300,False,18,33,60
148,dragonair,1,dragon,shed-skin; marvel-scale,61,84,65,70,70,70,420,False,40,165,147
149,dragonite,1,"dragon, flying",inner-focus; multiscale,91,134,95,100,100,80,600,False,22,2100,270
150,mewtwo,1,psychic,pressure; unnerve,106,110,90,154,90,130,680,True,20,1220,306
151,mew,1,psychic,synchronize,100,100,100,100,100,100,600,False,4,40,270
152,chikorita,2,grass,overgrow; leaf-guard,45,49,65,49,65,45,318,False,9,64,64
153,bayleef,2,grass,overgrow; leaf-guard,60,62,80,63,80,60,405,False,12,158,142
154,meganium,2,grass,overgrow; leaf-guard,80,82,100,83,100,80,525,False,18,1005,236
155,cyndaquil,2,fire,blaze; flash-fire,39,52,43,60,50,65,309,False,5,79,62
156,quilava,2,fire,blaze; flash-fire,58,64,58,80,65,80,405,False,9,190,142
157,typhlosion,2,fire,blaze; flash-fire,78,84,78,109,85,100,534,False,17,795,240
158,totodile,2,water,torrent; sheer-force,50,65,64,44,48,43,314,False,6,95,63
159,croconaw,2,water,torrent; sheer-force,65,80,80,59,63,58,405,False,11,250,142
160,feraligatr,2,water,torrent; sheer-force,85,105,100,79,83,78,530,False,23,888,239
161,sentret,2,normal,run-away; keen-eye; frisk,35,46,34,35,45,20,215,False,8,60,43
162,furret,2,normal,run-away; keen-eye; frisk,85,76,64,45,55,90,415,False,18,325,145
163,hoothoot,2,"normal, flying",insomnia; keen-eye; tinted-lens,60,30,30,36,56,50,262,False,7,212,52
164,noctowl,2,"normal, flying",insomnia; keen-eye; tinted-lens,100,50,50,86,96,70,452,False,16,408,158
165,ledyba,2,"bug, flying",swarm; early-bird; rattled,40,20,30,40,80,55,265,False,10,108,53
166,ledian,2,"bug, flying",swarm; early-bird; iron-fist,55,35,50,55,110,85,390,False,14,356,137
167,spinarak,2,"bug, poison",swarm; insomnia; sniper,40,60,40,40,40,30,250,False,5,85,50
168,ariados,2,"bug, poison",swarm; insomnia; sniper,70,90,70,60,70,40,400,False,11,335,140
169,crobat,2,"poison, flying",inner-focus; infiltrator,85,90,80,70,80,130,535,False,18,750,241
170,chinchou,2,"water, electric",volt-absorb; illuminate; water-absorb,75,38,38,56,56,67,330,False,5,120,66
171,lanturn,2,"water, electric",volt-absorb; illuminate; water-absorb,125,58,58,76,76,67,460,False,12,225,161
172,pichu,2,electric,static; lightning-rod,20,40,15,35,35,60,205,False,3,20,41
173,cleffa,2,fairy,cute-charm; magic-guard; friend-guard,50,25,28,45,55,15,218,False,3,30,44
174,igglybuff,2,"normal, fairy",cute-charm; competitive; friend-guard,90,30,15,40,20,15,210,False,3,10,42
175,togepi,2,fairy,hustle; serene-grace; super-luck,35,20,65,40,65,20,245,False,3,15,49
176,togetic,2,"fairy, flying",hustle; serene-grace; super-luck,55,40,85,80,105,40,405,False,6,32,142
177,natu,2,"psychic, flying",synchronize; early-bird; magic-bounce,40,50,45,70,45,70,320,False,2,20,64
178,xatu,2,"psychic, flying",synchronize; early-bird; magic-bounce,65,75,70,95,70,95,470,False,15,150,165
179,mareep,2,electric,static; plus,55,40,40,65,45,35,280,False,6,78,56
180,flaaffy,2,electric,static; plus,70,55,55,80,60,45,365,False,8,133,128
181,ampharos,2,electric,static; plus,90,75,85,115,90,55,510,False,14,615,230
182,bellossom,2,grass,chlorophyll; healer,75,80,95,90,100,50,490,False,4,58,221
183,marill,2,"water, fairy",thick-fat; huge-power; sap-sipper,70,20,50,20,50,40,250,False,4,85,88
184,azumarill,2,"water, fairy",thick-fat; huge-power; sap-sipper,100,50,80,60,80,50,420,False,8,285,189
185,sudowoodo,2,rock,sturdy; rock-head; rattled,70,100,115,30,65,30,410,False,12,380,144
186,politoed,2,water,water-absorb; damp; drizzle,90,75,75,90,100,70,500,False,11,339,225
187,hoppip,2,"grass, flying",chlorophyll; leaf-guard; infiltrator,35,35,40,35,55,50,250,False,4,5,50
188,skiploom,2,"grass, flying",chlorophyll; leaf-guard; infiltrator,55,45,50,45,65,80,340,False,6,10,119
189,jumpluff,2,"grass, flying",chlorophyll; leaf-guard; infiltrator,75,55,70,55,95,110,460,False,8,30,207
190,aipom,2,normal,run-away; pickup; skill-link,55,70,55,40,55,85,360,False,8,115,72
191,sunkern,2,grass,chlorophyll; solar-power; early-bird,30,30,30,30,30,30,180,False,3,18,36
192,sunflora,2,grass,chlorophyll; solar-power; early-bird,75,75,55,105,85,30,425,False,8,85,149
193,yanma,2,"bug, flying",speed-boost; compound-eyes; frisk,65,65,45,75,45,95,390,False,12,380,78
194,wooper,2,"water, ground",damp; water-absorb; unaware,55,45,45,25,25,15,210,False,4,85,42
195,quagsire,2,"water, ground",damp; water-absorb; unaware,95,85,85,65,65,35,430,False,14,750,151
196,espeon,2,psychic,synchronize; magic-bounce,65,65,60,130,95,110,525,False,9,265,184
197,umbreon,2,dark,synchronize; inner-focus,95,65,110,60,130,65,525,False,10,270,184
198,murkrow,2,"dark, flying",insomnia; super-luck; prankster,60,85,42,85,42,91,405,False,5,21,81
199,slowking,2,"water, psychic",oblivious; own-tempo; regenerator,95,75,80,100,110,30,490,False,20,795,172
200,misdreavus,2,ghost,levitate,60,60,60,85,85,85,435,False,7,10,87
201,unown,2,psychic,levitate,48,72,48,72,48,48,336,False,5,50,118
202,wobbuffet,2,psychic,shadow-tag; telepathy,190,33,58,33,58,33,405,False,13,285,142
203,girafarig,2,"normal, psychic",inner-focus; early-bird; sap-sipper,70,80,65,90,65,85,455,False,15,415,159
204,pineco,2,bug,sturdy; overcoat,50,65,90,35,35,15,290,False,6,72,58
205,forretress,2,"bug, steel",sturdy; overcoat,75,90,140,60,60,40,465,False,12,1258,163
206,dunsparce,2,normal,serene-grace; run-away; rattled,100,70,70,65,65,45,415,False,15,140,145
207,gligar,2,"ground, flying",hyper-cutter; sand-veil; immunity,65,75,105,35,65,85,430,False,11,648,86
208,steelix,2,"steel, ground",rock-head; sturdy; sheer-force,75,85,200,55,65,30,510,False,92,4000,179
209,snubbull,2,fairy,intimidate; run-away; rattled,60,80,50,40,40,30,300,False,6,78,60
210,granbull,2,fairy,intimidate; quick-feet; rattled,90,120,75,60,60,45,450,False,14,487,158
211,qwilfish,2,"water, poison",poison-point; swift-swim; intimidate,65,95,85,55,55,85,440,False,5,39,88
212,scizor,2,"bug, steel",swarm; technician; light-metal,70,130,100,55,80,65,500,False,18,1180,175
213,shuckle,2,"bug, rock",sturdy; gluttony; contrary,20,10,230,10,230,5,505,False,6,205,177
214,heracross,2,"bug, fighting",swarm; guts; moxie,80,125,75,40,95,85,500,False,15,540,175
215,sneasel,2,"dark, ice",inner-focus; keen-eye; pickpocket,55,95,55,35,75,115,430,False,9,280,86
216,teddiursa,2,normal,pickup; quick-feet; honey-gather,60,80,50,50,50,40,330,False,6,88,66
217,ursaring,2,normal,guts; quick-feet; unnerve,90,130,75,75,75,55,500,False,18,1258,175
218,slugma,2,fire,magma-armor; flame-body; weak-armor,40,40,40,70,40,20,250,False,7,350,50
219,magcargo,2,"fire, rock",magma-armor; flame-body; weak-armor,60,50,120,90,80,30,430,False,8,550,151
220,swinub,2,"ice, ground",oblivious; snow-cloak; thick-fat,50,50,40,30,30,50,250,False,4,65,50
221,piloswine,2,"ice, ground",oblivious; snow-cloak; thick-fat,100,100,80,60,60,50,450,False,11,558,158
222,corsola,2,"water, rock",hustle; natural-cure; regenerator,65,55,95,65,95,35,410,False,6,50,144
223,remoraid,2,water,hustle; sniper; moody,35,65,35,65,35,65,300,False,6,120,60
224,octillery,2,water,suction-cups; sniper; moody,75,105,75,105,75,45,480,False,9,285,168
225,delibird,2,"ice, flying",vital-spirit; hustle; insomnia,45,55,45,65,45,75,330,False,9,160,116
226,mantine,2,"water, flying",swift-swim; water-absorb; water-veil,85,40,70,80,140,70,485,False,21,2200,170
227,skarmory,2,"steel, flying",keen-eye; sturdy; weak-armor,65,80,140,40,70,70,465,False,17,505,163
228,houndour,2,"dark, fire",early-bird; flash-fire; unnerve,45,60,30,80,50,65,330,False,6,108,66
229,houndoom,2,"dark, fire",early-bird; flash-fire; unnerve,75,90,50,110,80,95,500,False,14,350,175
230,kingdra,2,"water, dragon",swift-swim; sniper; damp,75,95,95,95,95,85,540,False,18,1520,243
231,phanpy,2,ground,pickup; sand-veil,90,60,60,40,40,40,330,False,5,335,66
232,donphan,2,ground,sturdy; sand-veil,90,120,120,60,60,50,500,False,11,1200,175
233,porygon2,2,normal,trace; download; analytic,85,80,90,105,95,60,515,False,6,325,180
234,stantler,2,normal,intimidate; frisk; sap-sipper,73,95,62,85,65,85,465,False,14,712,163
235,smeargle,2,normal,own-tempo; technician; moody,55,20,35,20,45,75,250,False,12,580,88
236,tyrogue,2,fighting,guts; steadfast; vital-spirit,35,35,35,35,35,35,210,False,7,210,42
237,hitmontop,2,fighting,intimidate; technician; steadfast,50,95,95,35,110,70,455,False,14,480,159
238,smoochum,2,"ice, psychic",oblivious; forewarn; hydration,45,30,15,85,65,65,305,False,4,60,61
239,elekid,2,electric,static; vital-spirit,45,63,37,65,55,95,360,False,6,235,72
240,magby,2,fire,flame-body; vital-spirit,45,75,37,70,55,83,365,False,7,214,73
241,miltank,2,normal,thick-fat; scrappy; sap-sipper,95,80,105,40,70,100,490,False,12,755,172
242,blissey,2,normal,natural-cure; serene-grace; healer,255,10,10,75,135,55,540,False,15,468,608
243,raikou,2,electric,pressure; inner-focus,90,85,75,115,100,115,580,True,19,1780,261
244,entei,2,fire,pressure; inner-focus,115,115,85,90,75,100,580,True,21,1980,261
245,suicune,2,water,pressure; inner-focus,100,75,115,90,115,85,580,True,20,1870,261
246,larvitar,2,"rock, ground",guts; sand-veil,50,64,50,45,50,41,300,False,6,720,60
247,pupitar,2,"rock, ground",shed-skin,70,84,70,65,70,51,410,False,12,1520,144
248,tyranitar,2,"rock, dark",sand-stream; unnerve,100,134,110,95,100,61,600,False,20,2020,270
249,lugia,2,"psychic, flying",pressure; multiscale,106,90,130,90,154,110,680,True,52,2160,306
250,ho-oh,2,"fire, flying",pressure; regenerator,106,130,90,110,154,90,680,True,38,1990,306
251,celebi,2,"psychic, grass",natural-cure,100,100,100,100,100,100,600,False,6,50,270
252,treecko,3,grass,overgrow; unburden,40,45,35,65,55,70,310,False,5,50,62
253,grovyle,3,grass,overgrow; unburden,50,65,45,85,65,95,405,False,9,216,142
254,sceptile,3,grass,overgrow; unburden,70,85,65,105,85,120,530,False,17,522,239
255,torchic,3,fire,blaze; speed-boost,45,60,40,70,50,45,310,False,4,25,62
256,combusken,3,"fire, fighting",blaze; speed-boost,60,85,60,85,60,55,405,False,9,195,142
257,blaziken,3,"fire, fighting",blaze; speed-boost,80,120,70,110,70,80,530,False,19,520,239
258,mudkip,3,water,torrent; damp,50,70,50,50,50,40,310,False,4,76,62
259,marshtomp,3,"water, ground",torrent; damp,70,85,70,60,70,50,405,False,7,280,142
260,swampert,3,"water, ground",torrent; damp,100,110,90,85,90,60,535,False,15,819,241
261,poochyena,3,dark,run-away; quick-feet; rattled,35,55,35,30,30,35,220,False,5,136,56
262,mightyena,3,dark,intimidate; quick-feet; moxie,70,90,70,60,60,70,420,False,10,370,147
263,zigzagoon,3,normal,pickup; gluttony; quick-feet,38,30,41,30,41,60,240,False,4,175,56
264,linoone,3,normal,pickup; gluttony; quick-feet,78,70,61,50,61,100,420,False,5,325,147
265,wurmple,3,bug,shield-dust; run-away,45,45,35,20,30,20,195,False,3,36,56
266,silcoon,3,bug,shed-skin,50,35,55,25,25,15,205,False,6,100,72
267,beautifly,3,"bug, flying",swarm; rivalry,60,70,50,100,50,65,395,False,10,284,178
268,cascoon,3,bug,shed-skin,50,35,55,25,25,15,205,False,7,115,72
269,dustox,3,"bug, poison",shield-dust; compound-eyes,60,50,70,50,90,65,385,False,12,316,173
270,lotad,3,"water, grass",swift-swim; rain-dish; own-tempo,40,30,30,40,50,30,220,False,5,26,44
271,lombre,3,"water, grass",swift-swim; rain-dish; own-tempo,60,50,50,60,70,50,340,False,12,325,119
272,ludicolo,3,"water, grass",swift-swim; rain-dish; own-tempo,80,70,70,90,100,70,480,False,15,550,216
273,seedot,3,grass,chlorophyll; early-bird; pickpocket,40,40,50,30,30,30,220,False,5,40,44
274,nuzleaf,3,"grass, dark",chlorophyll; early-bird; pickpocket,70,70,40,60,40,60,340,False,10,280,119
275,shiftry,3,"grass, dark",chlorophyll; wind-rider; pickpocket,90,100,60,90,60,80,480,False,13,596,216
276,taillow,3,"normal, flying",guts; scrappy,40,55,30,30,30,85,270,False,3,23,54
277,swellow,3,"normal, flying",guts; scrappy,60,85,60,75,50,125,455,False,7,198,159
278,wingull,3,"water, flying",keen-eye; hydration; rain-dish,40,30,30,55,30,85,270,False,6,95,54
279,pelipper,3,"water, flying",keen-eye; drizzle; rain-dish,60,50,100,95,70,65,440,False,12,280,154
280,ralts,3,"psychic, fairy",synchronize; trace; telepathy,28,25,25,45,35,40,198,False,4,66,40
281,kirlia,3,"psychic, fairy",synchronize; trace; telepathy,38,35,35,65,55,50,278,False,8,202,97
282,gardevoir,3,"psychic, fairy",synchronize; trace; telepathy,68,65,65,125,115,80,518,False,16,484,233
